@relation network_monitoring

@attribute timestamp STRING
@attribute source_ip STRING
@attribute destination_url STRING
@attribute protocol {HTTP, HTTPS}
@attribute response_code NUMERIC
@attribute access_result {PERMITTED, DENIED}

@data
"2025-03-18 12:02:05","192.168.1.180","http://mercadolibre.com","HTTP",200,PERMITTED
"2025-03-18 12:03:20","192.168.1.181","https://booking.com","HTTPS",404,DENIED
"2025-03-18 12:04:35","192.168.1.182","http://facebook.com","HTTP",503,DENIED
"2025-03-18 12:05:50","192.168.1.183","https://youtube.com","HTTPS",404,DENIED
"2025-03-18 12:07:05","192.168.1.184","http://twitter.com","HTTP",200,PERMITTED
"2025-03-18 12:08:20","192.168.1.185","https://instagram.com","HTTPS",403,DENIED
"2025-03-18 12:09:35","192.168.1.186","http://tiktok.com","HTTP",200,PERMITTED
"2025-03-18 12:10:50","192.168.1.187","https://mercadolibre.com","HTTPS",404,DENIED
"2025-03-18 12:12:05","192.168.1.188","http://booking.com","HTTP",403,DENIED
"2025-03-18 12:13:20","192.168.1.189","https://facebook.com","HTTPS",200,PERMITTED
"2025-03-18 12:27:05","192.168.1.200","http://tiktok.com","HTTP",404,DENIED
"2025-03-18 12:28:20","192.168.1.201","https://mercadolibre.com","HTTPS",200,PERMITTED
"2025-03-18 12:29:35","192.168.1.202","http://booking.com","HTTP",404,DENIED
"2025-03-18 12:30:50","192.168.1.203","https://facebook.com","HTTPS",200,PERMITTED
"2025-03-18 12:32:05","192.168.1.204","http://youtube.com","HTTP",200,PERMITTED
"2025-03-18 12:33:20","192.168.1.205","https://twitter.com","HTTPS",404,DENIED
"2025-03-18 12:34:35","192.168.1.206","http://instagram.com","HTTP",503,DENIED
"2025-03-18 12:35:50","192.168.1.207","https://tiktok.com","HTTPS",404,DENIED
"2025-03-18 12:37:05","192.168.1.208","http://mercadolibre.com","HTTP",200,PERMITTED
"2025-03-18 12:38:20","192.168.1.209","https://booking.com","HTTPS",403,DENIED
"2025-03-18 12:39:35","192.168.1.210","http://facebook.com","HTTP",404,DENIED
"2025-03-18 12:40:50","192.168.1.211","https://youtube.com","HTTPS",503,DENIED
"2025-03-18 12:42:05","192.168.1.212","http://twitter.com","HTTP",200,PERMITTED
"2025-03-18 12:43:20","192.168.1.213","https://instagram.com","HTTPS",404,DENIED
"2025-03-18 12:44:35","192.168.1.214","http://tiktok.com","HTTP",503,DENIED
"2025-03-18 12:45:50","192.168.1.215","https://mercadolibre.com","HTTPS",404,DENIED
"2025-03-18 12:47:05","192.168.1.216","http://booking.com","HTTP",200,PERMITTED
"2025-03-18 12:48:20","192.168.1.217","https://facebook.com","HTTPS",404,DENIED
"2025-03-18 12:49:35","192.168.1.218","http://youtube.com","HTTP",200,PERMITTED
"2025-03-18 12:50:50","192.168.1.219","https://twitter.com","HTTPS",403,DENIED
"2025-03-18 12:52:05","192.168.1.220","http://instagram.com","HTTP",503,DENIED
"2025-03-18 12:53:20","192.168.1.221","https://tiktok.com","HTTPS",404,DENIED
"2025-03-18 12:54:35","192.168.1.222","http://mercadolibre.com","HTTP",503,DENIED
"2025-03-18 12:55:50","192.168.1.223","https://booking.com","HTTPS",404,DENIED
